osm_id,lat,lon,name,operator,access,capacity,fast,lga_code,vic_postcode,state
node/7853763889,-35.2998964,149.190361,"","",yes,1,FALSE,89399,,ACT
node/7853799488,-35.2801903,149.1354521,"","","",4,FALSE,89399,,ACT
node/8660527323,-35.3457734,149.0857708,"","","",,FALSE,89399,,ACT
node/12555903853,-35.2514976,149.1379696,"","","",,FALSE,89399,,ACT
node/14113976572,-35.1864275,149.1356065,AmpCharge,AmpCharge,"",6,TRUE,89399,,ACT
node/7858748739,-35.3224367,149.165535,Chargefox,Chargefox,"",1,TRUE,89399,,ACT
node/12861805832,-35.3168159,149.1495592,Evie Charging Station,Evie Networks,customers,4,FALSE,89399,,ACT
node/11927351347,-35.2818558,149.1222442,Evie Networks,Evie Networks,"",8,FALSE,89399,,ACT
node/12081896276,-35.2534898,149.0707193,Evie Networks,Evie Networks,"",4,TRUE,89399,,ACT
node/13728878368,-35.174409,149.0965067,Evie Networks,Evie Networks,yes,4,FALSE,89399,,ACT
node/14089613013,-35.2388816,149.0717617,Evie Networks,Evie Networks,"",4,TRUE,89399,,ACT
node/14132970332,-35.3207304,149.1346341,Evie Networks,Evie Networks,"",4,TRUE,89399,,ACT
way/1492451058,-35.3230714,149.0931615,Evie Networks,Evie Networks,yes,4,TRUE,89399,,ACT
way/1515135202,-35.1999136,149.1484186,Evie Networks,Evie Networks,"",4,TRUE,89399,,ACT
node/10738276283,-35.319776,149.1389146,Evie at BP Kingston,Evie Networks,"",2,TRUE,89399,,ACT
node/14028000688,-35.2418293,149.1268271,Exploren,Exploren,"",6,TRUE,89399,,ACT
node/14113976573,-35.1845817,149.1328278,Exploren,Exploren,"",6,TRUE,89399,,ACT
node/14113976574,-35.1840955,149.1304665,Exploren,Exploren,"",2,TRUE,89399,,ACT
way/1492451057,-35.3190467,149.0936875,Exploren,Exploren,yes,6,TRUE,89399,,ACT
node/8660496889,-35.2745267,149.1333578,Tesla Destination Charger,Tesla,"",,FALSE,89399,,ACT
