state,lga_name,month,bev_exact,bev_supp,phev_exact,phev_supp,other_exact,other_supp
NSW,Albury,2023-01,0,3,0,0,0,106
NSW,Albury,2023-02,0,5,0,0,0,91
NSW,Albury,2023-03,0,0,0,0,0,10
NSW,Albury,2023-04,0,0,0,0,0,26
NSW,Albury,2023-05,0,4,0,0,0,103
NSW,Albury,2023-06,0,1,0,1,0,135
NSW,Albury,2023-07,0,4,0,1,0,105
NSW,Albury,2023-08,0,1,0,1,0,151
NSW,Albury,2023-09,0,5,0,2,0,117
NSW,Albury,2023-10,0,3,0,2,0,137
NSW,Albury,2023-11,0,5,0,0,0,130
NSW,Albury,2023-12,0,3,0,2,0,83
NSW,Albury,2024-01,0,2,0,0,0,105
NSW,Albury,2024-02,0,1,0,0,0,15
NSW,Albury,2024-03,0,1,0,1,0,21
NSW,Albury,2024-04,0,3,0,0,0,88
NSW,Albury,2024-05,0,5,0,0,0,73
NSW,Albury,2024-06,0,2,0,2,0,116
NSW,Albury,2024-07,0,8,0,2,0,108
NSW,Albury,2024-08,0,6,0,2,0,100
NSW,Albury,2024-09,0,0,0,0,0,96
NSW,Albury,2024-10,0,5,0,4,0,104
NSW,Albury,2024-11,0,0,0,2,0,91
NSW,Albury,2024-12,0,4,0,1,0,86
NSW,Albury,2025-01,0,1,0,1,0,96
NSW,Albury,2025-02,0,6,0,3,0,89
NSW,Albury,2025-03,0,4,0,5,0,126
NSW,Albury,2025-04,0,4,0,2,0,82
NSW,Albury,2025-05,0,5,0,2,0,97
NSW,Albury,2025-06,0,3,0,1,0,122
NSW,Albury,2025-07,0,5,0,2,0,140
NSW,Albury,2025-08,0,5,0,3,0,110
NSW,Albury,2025-09,0,8,0,3,0,111
NSW,Albury,2025-10,0,2,0,2,0,108
NSW,Albury,2025-11,0,4,0,0,0,116
NSW,Albury,2025-12,0,4,0,6,0,87
NSW,Albury,2026-01,0,6,0,7,0,98
NSW,Albury,2026-02,0,6,0,6,0,100
NSW,Albury,2026-03,0,15,0,4,0,115
NSW,Albury,2026-04,0,9,0,7,0,96
NSW,Albury,2026-05,0,29,0,8,0,97
NSW,Albury,2026-06,0,25,0,10,0,109
NSW,Albury,2026-07,0,15,0,11,0,86
NSW,Albury,2026-08,0,23,0,11,0,84
NSW,Armidale Regional,2023-01,0,1,0,0,0,51
NSW,Armidale Regional,2023-02,0,2,0,1,0,39
NSW,Armidale Regional,2023-03,0,0,0,0,0,8
NSW,Armidale Regional,2023-04,0,0,0,1,0,11
NSW,Armidale Regional,2023-05,0,2,0,1,0,56
NSW,Armidale Regional,2023-06,0,0,0,0,0,51
NSW,Armidale Regional,2023-07,0,1,0,1,0,57
NSW,Armidale Regional,2023-08,0,2,0,0,0,51
NSW,Armidale Regional,2023-09,0,0,0,0,0,59
NSW,Armidale Regional,2023-10,0,1,0,0,0,61
NSW,Armidale Regional,2023-11,0,2,0,1,0,43
NSW,Armidale Regional,2023-12,0,2,0,0,0,58
NSW,Armidale Regional,2024-01,0,2,0,0,0,48
NSW,Armidale Regional,2024-02,0,0,0,0,0,9
NSW,Armidale Regional,2024-03,0,0,0,1,0,12
NSW,Armidale Regional,2024-04,0,1,0,0,0,47
NSW,Armidale Regional,2024-05,0,0,0,1,0,41
NSW,Armidale Regional,2024-06,0,5,0,0,0,36
NSW,Armidale Regional,2024-07,0,2,0,2,0,47
NSW,Armidale Regional,2024-08,0,3,0,1,0,57
NSW,Armidale Regional,2024-09,0,3,0,2,0,64
NSW,Armidale Regional,2024-10,0,2,0,1,0,49
NSW,Armidale Regional,2024-11,0,1,0,1,0,57
NSW,Armidale Regional,2024-12,0,2,0,0,0,50
NSW,Armidale Regional,2025-01,0,1,0,1,0,56
NSW,Armidale Regional,2025-02,0,4,0,3,0,52
NSW,Armidale Regional,2025-03,0,1,0,1,0,61
NSW,Armidale Regional,2025-04,0,2,0,0,0,50
NSW,Armidale Regional,2025-05,0,0,0,2,0,52
NSW,Armidale Regional,2025-06,0,2,0,0,0,55
NSW,Armidale Regional,2025-07,0,1,0,0,0,54
NSW,Armidale Regional,2025-08,0,1,0,0,0,51
NSW,Armidale Regional,2025-09,0,1,0,1,0,41
NSW,Armidale Regional,2025-10,0,1,0,1,0,50
NSW,Armidale Regional,2025-11,0,3,0,1,0,46
NSW,Armidale Regional,2025-12,0,1,0,1,0,41
NSW,Armidale Regional,2026-01,0,2,0,1,0,43
NSW,Armidale Regional,2026-02,0,1,0,0,0,41
NSW,Armidale Regional,2026-03,0,5,0,3,0,44
NSW,Armidale Regional,2026-04,0,7,0,5,0,37
NSW,Armidale Regional,2026-05,0,10,0,1,0,46
NSW,Armidale Regional,2026-06,0,10,0,1,0,57
NSW,Armidale Regional,2026-07,0,9,0,5,0,46
NSW,Armidale Regional,2026-08,0,11,0,0,0,36
NSW,Ballina,2023-01,0,9,0,0,0,81
NSW,Ballina,2023-02,0,7,0,0,0,69
NSW,Ballina,2023-03,0,0,0,0,0,5
NSW,Ballina,2023-04,0,0,0,0,0,19
NSW,Ballina,2023-05,0,9,0,0,0,96
NSW,Ballina,2023-06,0,6,0,2,0,123
NSW,Ballina,2023-07,0,8,0,0,0,88
NSW,Ballina,2023-08,0,5,0,0,0,101
NSW,Ballina,2023-09,0,4,0,1,0,89
NSW,Ballina,2023-10,0,6,0,0,0,81
NSW,Ballina,2023-11,0,8,0,0,0,111
NSW,Ballina,2023-12,0,5,0,1,0,68
NSW,Ballina,2024-01,0,6,0,0,0,75
NSW,Ballina,2024-02,0,1,0,0,0,10
NSW,Ballina,2024-03,0,1,0,0,0,21
NSW,Ballina,2024-04,0,4,0,2,0,77
NSW,Ballina,2024-05,0,7,0,0,0,68
NSW,Ballina,2024-06,0,9,0,2,0,105
NSW,Ballina,2024-07,0,4,0,2,0,95
NSW,Ballina,2024-08,0,6,0,1,0,79
NSW,Ballina,2024-09,0,6,0,0,0,93
NSW,Ballina,2024-10,0,10,0,0,0,87
NSW,Ballina,2024-11,0,7,0,0,0,73
NSW,Ballina,2024-12,0,4,0,0,0,80
NSW,Ballina,2025-01,0,3,0,3,0,72
NSW,Ballina,2025-02,0,1,0,2,0,92
NSW,Ballina,2025-03,0,5,0,2,0,91
NSW,Ballina,2025-04,0,3,0,2,0,86
NSW,Ballina,2025-05,0,10,0,2,0,88
NSW,Ballina,2025-06,0,14,0,7,0,108
NSW,Ballina,2025-07,0,8,0,3,0,84
NSW,Ballina,2025-08,0,5,0,0,0,87
NSW,Ballina,2025-09,0,8,0,6,0,81
NSW,Ballina,2025-10,0,6,0,3,0,78
NSW,Ballina,2025-11,0,8,0,2,0,91
NSW,Ballina,2025-12,0,9,0,0,0,106
