month,NSW_ULP,NSW_Diesel,QLD_ULP,QLD_Diesel,TGP_petrol_national,TGP_diesel_national
2023-01,179.262,209.9147,179.6887,210.1673,167.9455,188.0091
2023-02,184.9758,204.5618,182.9639,202.9935,171.655,182.05
2023-03,184.4962,200.3121,183.6162,198.5576,172.9,178.6304
2023-04,189.6913,197.2114,190.3098,195.9035,177.265,176.005
2023-05,181.6276,190.1465,180.9314,188.9611,166.4565,165.7478
2023-06,183.991,185.5481,183.4272,183.8218,167.3318,165.9318
2023-07,184.6636,185.5369,182.6156,183.3381,169.1667,171.2381
2023-08,198.732,207.1277,199.1629,209.0874,185.7478,197.2304
2023-09,207.277,218.6939,205.61,219.7223,192.4857,207.0381
2023-10,203.452,222.517,206.5425,222.6076,182.0727,204.1682
2023-11,200.0822,214.2021,196.6491,213.6663,177.4955,187.9455
2023-12,190.9403,201.1583,185.853,199.1774,167.8762,176.9667
2024-01,185.3306,195.5288,187.6937,193.6753,170.1261,177.6391
2024-02,197.6911,202.6712,194.1165,200.9417,182.1857,188.7667
2024-03,200.0376,202.8206,202.6172,201.7811,182.0762,184.8714
2024-04,205.6823,203.1817,204.593,201.4734,188.0318,186.0136
2024-05,194.9305,198.7275,198.2693,198.9426,178.1348,177.4348
2024-06,195.0354,193.5019,195.7674,193.7193,171.4,175.925
2024-07,193.0832,194.5116,191.9607,194.6135,174.2739,177.1391
2024-08,186.506,190.5265,185.8834,190.0533,167.9,170.15
2024-09,176.1483,182.0846,177.5296,182.3412,159.1429,159.5524
2024-10,175.8658,178.3111,178.7188,179.0582,161.1261,161.7913
2024-11,180.0581,179.7838,179.1246,179.6038,162.1429,165.7381
2024-12,186.6991,182.9039,184.1602,180.8688,164.9182,168.0727
2025-01,183.8614,190.3895,183.904,187.2559,169.5174,177.2957
2025-02,183.6928,191.4369,188.3471,190.4641,169.91,174.575
2025-03,184.7918,187.6722,188.3876,188.9385,164.2667,168.5762
2025-04,177.4602,184.0598,177.6948,184.8997,160.6091,164.4545
2025-05,173.6435,178.8896,176.3201,179.1414,156.6,158.4091
2025-06,179.4869,178.9472,174.9732,179.9578,161.3476,163.9571
2025-07,178.3605,183.4272,181.0543,184.528,160.5261,168.7652
2025-08,176.0104,184.0153,180.0905,186.2355,162.8,167.4619
2025-09,180.8409,183.2998,182.6729,186.3556,164.5455,167.2
2025-10,178.16,183.4496,181.0595,185.3964,161.9826,167.1348
2025-11,180.4992,188.889,183.741,189.94,165.0,174.715
2025-12,181.4016,189.421,181.2068,188.8374,161.1391,162.8783
2026-01,172.8236,182.1418,177.6192,181.7021,153.7455,158.3227
2026-02,169.5233,179.6604,173.0732,179.4215,153.405,162.925
2026-03,229.4038,257.6363,229.2261,262.5065,210.3727,249.3545
2026-04,214.1201,284.9153,214.5194,300.5832,193.6636,271.5545
2026-05,186.8305,237.479,187.3372,240.8635,177.8095,211.3762
2026-06,169.3378,199.8816,172.3218,204.1821,156.9591,179.3864
2026-07,177.7549,206.5543,180.4358,208.4209,169.687,198.2609
2026-08,203.9181,248.3789,206.4818,250.4661,195.919,239.4571
