lga_code,state,lga_name,median_income,earners,income_group,persons,dwellings,lv_2021,lv_2022,lv_2023,lv_2024,lv_2025,bev_2021,bev_2022,bev_2023,bev_2024,bev_2025,solar_n,solar_kw,battery_n,battery_kwh,chg_sites,chg_fast,chg_points
89399,ACT,Unincorporated ACT,75643,331830,3,453764,187063,299771.4,305282.6,312009.9,318249,324365.5,685.3,1467.2,3020.3,6455.5,9942.4,68611.4,540572,9530.5,269250.7,25,17,92
10050,NSW,Albury,56268,36866,2,55975,25406,37890.1,38920.3,39878.6,40997.9,41714,12.9,25.8,76.4,157.9,223.5,12359.1,89067.3,1430.8,37507.8,3,2,18
10180,NSW,Armidale Regional,49904,18042,1,29148,12940,20390.4,20809.9,21129.9,21512.8,21763.6,10.5,14.3,19.3,45,81.1,5746,39135.6,543.4,13170.5,4,1,8
10250,NSW,Ballina,49458,30645,1,46238,20956,34466.3,35355.8,35515.3,35738.2,36523,36.4,67.2,136.7,251.7,362.2,13682.3,83243.6,1473.4,35460.5,4,2,10
10300,NSW,Balranald,45027,1591,1,2209,1076,1574.7,1582,1611.1,1622,1619.1,0,0,0,0,0,463.3,4391.9,13.2,406.2,1,1,1
10470,NSW,Bathurst Regional,57727,27605,2,43595,18383,34113.2,34958.3,35616.5,36245.5,36799.1,4.9,20.3,47.3,110,156.4,8232.4,61508.7,1085.9,27640.3,7,5,25
10500,NSW,Bayside,59885,125172,3,175145,74781,109940.1,113459.4,120669.5,123773,126130,96.3,204.5,658,1723.6,2374.1,9235.4,76053.3,1828.9,58893,3,1,4
10550,NSW,Bega Valley,44831,23198,1,35827,18851,30060.2,30458.2,30770.8,31237.8,31407.2,16.6,29.7,62.6,128.9,176.8,9084.2,52901.7,803.4,19577.8,6,3,17
10600,NSW,Bellingen,42240,8145,1,13250,6353,10644,10881.4,10928,11024.9,11172.1,8.3,14,25.7,53.4,77.1,3766.7,22155.5,393.4,8910,2,1,3
10650,NSW,Berrigan,43238,5612,1,8661,4241,6805.4,7033.6,7091.9,7197.5,7187.6,0.6,3.6,4.4,9.3,14.3,2503.4,19772.7,206.2,4823.9,0,0,0
10750,NSW,Blacktown,62478,260218,4,396703,133947,235766.8,240354.2,248079.9,258615,268019.1,113.7,298.6,901.7,2370.8,3777.5,68705.3,512393.4,13437.4,479224.7,23,11,423
10800,NSW,Bland,50264,3705,1,5555,3089,4979.3,5109.9,5225.3,5283.6,5255.2,0,0,0,0,0,1386.1,10461.8,112.8,3138.7,1,1,4
10850,NSW,Blayney,55526,4787,2,7499,3227,6633.1,6645.9,6757.8,6821.9,6929.2,3,0.2,8.6,17.8,28.2,1521.8,11666.3,210.3,5176.4,0,0,0
