state,lga_code,lga_name,median_income,earners,income_group
NSW,10050,Albury,56268,36866,2
NSW,10180,Armidale Regional,49904,18042,1
NSW,10250,Ballina,49458,30645,1
NSW,10300,Balranald,45027,1591,1
NSW,10470,Bathurst Regional,57727,27605,2
NSW,10500,Bayside,59885,125172,3
NSW,10550,Bega Valley,44831,23198,1
NSW,10600,Bellingen,42240,8145,1
NSW,10650,Berrigan,43238,5612,1
NSW,10750,Blacktown,62478,260218,4
NSW,10800,Bland,50264,3705,1
NSW,10850,Blayney,55526,4787,2
NSW,10900,Blue Mountains,58987,50915,3
NSW,10950,Bogan,54181,1742,2
NSW,11150,Bourke,52034,1639,2
NSW,11200,Brewarrina,49948,753,1
NSW,11250,Broken Hill,58284,9762,3
NSW,11300,Burwood,51481,29991,2
NSW,11350,Byron,39703,28071,1
NSW,11400,Cabonne,53284,8872,2
NSW,11450,Camden,67889,81140,4
NSW,11500,Campbelltown,58570,108290,3
NSW,11520,Canada Bay,69770,64573,5
NSW,11570,Canterbury-Bankstown,50569,219171,1
NSW,11600,Carrathool,50307,1938,1
NSW,11650,Central Coast,55035,215575,2
NSW,11700,Central Darling,39941,942,1
NSW,11720,Cessnock,57447,38322,2
NSW,11730,Clarence Valley,44298,30647,1
NSW,11750,Cobar,60262,2554,3
NSW,11800,Coffs Harbour,47990,50925,1
NSW,12000,Coolamon,52125,2807,2
NSW,12150,Coonamble,45183,2192,1
NSW,12160,Cootamundra-Gundagai Regional,49224,6910,1
NSW,12350,Cowra,46606,7617,1
NSW,12380,Cumberland,50276,147622,1
NSW,12390,Dubbo Regional,58431,34783,3
NSW,12700,Dungog,51548,6162,2
NSW,12730,Edward River,49165,5789,1
NSW,12750,Eurobodalla,43471,24469,1
NSW,12850,Fairfield,48037,108484,1
NSW,12870,Federation,48642,8464,1
NSW,12900,Forbes,51698,5857,2
NSW,12930,Georges River,58246,107901,2
NSW,12950,Gilgandra,44554,2495,1
NSW,13010,Glen Innes Severn,38504,4946,1
NSW,13310,Goulburn Mulwaree,56536,19782,2
NSW,13340,Greater Hume Shire,51166,7169,2
NSW,13450,Griffith,54816,19893,2
NSW,13550,Gunnedah,57828,8135,2
NSW,13660,Gwydir,43354,2876,1
NSW,13800,Hawkesbury,60727,45221,3
NSW,13850,Hay,50034,1958,1
NSW,13910,Hilltops,47896,11633,1
NSW,14000,Hornsby,66555,106372,4
NSW,14100,Hunters Hill,80855,9605,5
NSW,14170,Inner West,75949,136440,5
NSW,14220,Inverell,47430,10008,1
NSW,14300,Junee,54575,3688,2
NSW,14350,Kempsey,43156,16459,1
NSW,14400,Kiama,53652,15114,2
NSW,14500,Ku-ring-gai,69492,89631,5
NSW,14550,Kyogle,36648,5397,1
NSW,14600,Lachlan,50030,3818,1
NSW,14650,Lake Macquarie,58267,135601,3
NSW,14700,Lane Cove,85425,30370,5
NSW,14750,Leeton,53020,7205,2
NSW,14850,Lismore,47796,27334,1
NSW,14870,Lithgow,52480,11680,2
NSW,14900,Liverpool,57763,138153,2
NSW,14920,Liverpool Plains,47606,4517,1
NSW,14950,Lockhart,51007,1990,2
NSW,15050,Maitland,60930,58392,3
NSW,15240,Mid-Coast,42945,54145,1
NSW,15270,Mid-Western Regional,52523,15833,2
NSW,15300,Moree Plains,56977,8123,2
NSW,15350,Mosman,83702,21974,5
NSW,15520,Murray River,48583,8035,1
NSW,15560,Murrumbidgee,51985,2460,2
NSW,15650,Muswellbrook,59457,9961,3
NSW,15700,Nambucca,39407,11478,1
NSW,15750,Narrabri,55939,8233,2
NSW,15800,Narrandera,49059,3523,1
NSW,15850,Narromine,50115,3952,1
NSW,15900,Newcastle,61846,113498,3
NSW,15950,North Sydney,88760,54963,5
NSW,15990,Northern Beaches,67899,196195,4
NSW,16100,Oberon,54011,3409,2
NSW,16150,Orange,60777,27666,3
NSW,16200,Parkes,53640,8689,2
NSW,16260,Parramatta,61730,181940,3
NSW,16350,Penrith,63669,138507,4
NSW,16380,Port Macquarie-Hastings,47536,53938,1
NSW,16400,Port Stephens,51766,46476,2
NSW,16490,Queanbeyan-Palerang Regional,74963,45394,5
NSW,16550,Randwick,69078,102199,5
NSW,16610,Richmond Valley,46487,13537,1
NSW,16700,Ryde,64077,94233,4
NSW,16900,Shellharbour,58886,48351,3
NSW,16950,Shoalhaven,47544,63610,1
NSW,17000,Singleton,60741,16090,3
NSW,17040,Snowy Monaro Regional,52872,15160,2
NSW,17080,Snowy Valleys,52064,9164,2
NSW,17100,Strathfield,58090,34937,2
NSW,17150,Sutherland Shire,69239,160524,5
NSW,17200,Sydney,65191,182897,4
NSW,17310,Tamworth Regional,54413,40220,2
NSW,17350,Temora,47313,3875,1
NSW,17400,Tenterfield,30613,3879,1
NSW,17420,The Hills Shire,70634,137880,5
NSW,17550,Tweed,47909,60817,1
NSW,17620,Upper Hunter Shire,53636,9431,2
NSW,17640,Upper Lachlan Shire,49763,5432,1
NSW,17650,Uralla,46910,3820,1
NSW,17750,Wagga Wagga,59030,43893,3
NSW,17850,Walcha,44744,1926,1
NSW,17900,Walgett,43197,3241,1
NSW,17950,Warren,47858,1716,1
NSW,18020,Warrumbungle Shire,43195,4967,1
NSW,18050,Waverley,75746,56673,5
NSW,18100,Weddin,41840,2111,1
NSW,18200,Wentworth,40160,7001,1
NSW,18250,Willoughby,70612,55205,5
NSW,18350,Wingecarribee,53175,35047,2
NSW,18400,Wollondilly,64204,36444,4
NSW,18450,Wollongong,58764,137857,3
NSW,18500,Woollahra,88612,42263,5
NSW,18710,Yass Valley,67361,12151,4
QLD,30250,Aurukun,17661,418,1
QLD,30300,Balonne,50981,3145,1
QLD,30370,Banana,56287,9514,3
QLD,30410,Barcaldine,54809,1952,2
QLD,30450,Barcoo,46581,244,1
QLD,30760,Blackall-Tambo,52339,1244,1
QLD,30900,Boulia,56416,272,3
QLD,31000,Brisbane,63317,912109,5
QLD,31750,Bulloo,60811,207,4
QLD,31820,Bundaberg,45747,61217,1
QLD,31900,Burdekin,53542,11468,2
QLD,31950,Burke,52510,192,1
QLD,32080,Cairns,55547,116711,3
QLD,32250,Carpentaria,52327,1270,1
QLD,32260,Cassowary Coast,40684,20534,1
QLD,32270,Central Highlands,65722,19641,5
QLD,32310,Charters Towers,54233,6931,2
QLD,32330,Cherbourg,23645,391,1
QLD,32450,Cloncurry,66504,1978,5
QLD,32500,Cook,43885,2916,1
QLD,32600,Croydon,50301,176,1
QLD,32750,Diamantina,60159,195,4
QLD,32770,Doomadgee,24057,470,1
QLD,32810,Douglas,44089,9532,1
QLD,33100,Etheridge,47158,528,1
QLD,33200,Flinders,56165,1077,3
QLD,33220,Fraser Coast,45848,61699,1
QLD,33360,Gladstone,61916,41608,4
QLD,33430,Gold Coast,53824,451951,2
QLD,33610,Goondiwindi,52500,7310,1
QLD,33620,Gympie,43380,32535,1
QLD,33800,Hinchinbrook,51454,6721,1
QLD,33830,Hope Vale,30911,439,1
QLD,33960,Ipswich,59405,149792,3
QLD,33980,Isaac,83473,12961,5
QLD,34420,Kowanyama,29521,390,1
QLD,34530,Livingstone,58845,26186,3
QLD,34570,Lockhart River,26567,307,1
QLD,34580,Lockyer Valley,50299,27754,1
QLD,34590,Logan,55522,224541,2
QLD,34710,Longreach,59464,2455,4
QLD,34770,Mackay,64712,87086,5
QLD,34830,Mapoon,30831,152,1
QLD,34860,Maranoa,55732,8946,3
QLD,34880,Mareeba,41391,15805,1
QLD,34800,McKinlay,48616,577,1
QLD,35010,Moreton Bay,57332,314043,3
QLD,35250,Mornington,29703,450,1
QLD,35300,Mount Isa,77025,12667,5
QLD,35600,Murweh,55431,2801,2
QLD,35670,Napranum,26825,412,1
QLD,35740,Noosa,45385,40898,1
QLD,35760,North Burnett,34094,7269,1
QLD,35780,Northern Peninsula Area,42561,1266,1
QLD,35790,Palm Island,37388,641,1
QLD,35800,Paroo,48120,856,1
QLD,36070,Pormpuraaw,21233,292,1
QLD,36150,Quilpie,56491,588,3
QLD,36250,Redland,59533,106739,4
QLD,36300,Richmond,55257,593,2
QLD,36370,Rockhampton,59945,51742,4
QLD,36510,Scenic Rim,48993,28219,1
QLD,36580,Somerset,50152,16014,1
QLD,36630,South Burnett,44378,18778,1
QLD,36660,Southern Downs,41880,23139,1
QLD,36720,Sunshine Coast,52638,242168,1
QLD,36820,Tablelands,41040,17841,1
QLD,36910,Toowoomba,55551,112998,3
QLD,36950,Torres,65211,1888,5
QLD,36960,Torres Strait Island,40039,1448,1
QLD,37010,Townsville,62262,129822,4
QLD,37300,Weipa,96818,3008,5
QLD,37310,Western Downs,52022,21482,1
QLD,37340,Whitsunday,50734,27404,1
QLD,37400,Winton,55581,826,3
QLD,37550,Woorabinda,32453,315,1
QLD,37570,Wujal Wujal,22102,133,1
QLD,37600,Yarrabah,32512,751,1
