postcode,median_income,individuals,income_group
3000,34511,41355,1
3002,79301,3900,5
3003,53399,7394,2
3004,66111,9913,5
3006,57373,21396,3
3008,61642,12209,4
3011,57799,18760,3
3012,64558,18579,4
3013,78335,10356,5
3015,77948,12240,5
3016,73607,10903,5
3018,70408,8749,5
3019,50896,6410,1
3020,51190,27055,1
3021,45543,30104,1
3022,54946,2074,2
3023,55779,37968,2
3024,59172,25936,3
3025,65642,8008,5
3026,54711,3935,2
3027,60366,6774,3
3028,59373,17200,3
3029,52005,96220,1
3030,61527,78661,4
3031,68674,12721,5
3032,64530,21119,4
3033,65669,9223,5
3034,61637,7229,4
3036,65608,3923,4
3037,58531,30416,3
3038,58699,16557,3
3039,72050,11754,5
3040,70597,19062,5
3041,69716,9144,5
3042,67217,10817,5
3043,59278,10379,3
3044,68612,18709,5
3046,59139,23807,3
3047,43387,10852,1
3048,42897,8082,1
3049,59955,6076,3
3051,53834,10771,2
3052,50212,4244,1
3053,37313,12914,1
3054,68201,5987,5
3055,65020,10410,4
3056,67752,19516,5
3057,72473,10574,5
3058,64938,23490,4
3059,60580,14430,4
3060,50117,8117,1
3061,45596,2362,1
3063,58161,388,3
3064,52219,74117,2
3065,70801,7417,5
3066,76534,7067,5
3067,72728,7140,5
3068,75692,13227,5
3070,74355,17327,5
3071,69255,12622,5
3072,63685,22926,4
3073,59926,31231,3
3074,51060,11041,1
3075,52274,12460,2
3076,54893,19602,2
3078,74063,8718,5
3079,70488,12511,5
3081,60174,9293,3
3082,57097,17485,3
3083,53393,20416,2
3084,68983,17790,5
3085,65386,8839,4
3087,68243,5501,5
3088,66897,17125,5
3089,68741,8445,5
3090,70319,1865,5
3091,70150,1138,5
3093,67594,2585,5
3094,67418,5713,5
3095,66615,18518,5
3096,62327,1246,4
3097,58533,1019,3
3099,60899,3140,4
3101,70000,17340,5
3102,67033,4620,5
3103,54476,10927,2
3104,57008,14369,3
3105,57665,7353,3
3106,57453,11210,3
3107,56225,9055,2
3108,49870,17439,1
3109,51514,20112,1
3111,57793,8437,3
3113,61817,5752,4
3114,66307,2680,5
3115,64348,2674,4
3116,62281,7620,4
3121,78482,23309,5
3122,70866,17485,5
3123,74018,11118,5
3124,66868,15956,5
3125,47029,10789,1
3126,68259,5661,5
3127,65502,13415,4
3128,45047,16292,1
3129,53114,11886,2
3130,59874,22219,3
3131,56969,14856,2
3132,63399,11198,4
3133,54248,14915,2
3134,61155,22508,4
3135,63396,13038,4
3136,62182,29049,4
3137,61138,9366,4
3138,60605,14427,4
3139,58481,9192,3
3140,61712,11569,4
3141,72858,19596,5
3142,82873,9933,5
3143,81445,7113,5
3144,79322,8079,5
3145,66598,16616,5
3146,74523,18080,5
3147,66099,10021,5
3148,60049,6451,3
3149,57477,24290,3
3150,50524,42028,1
3151,49803,7814,1
3152,55465,22758,2
3153,59997,13568,3
3154,63225,2735,4
3155,60234,14925,3
3156,61306,24571,4
3158,61070,4345,4
3159,62506,1651,4
3160,63277,5737,4
3161,70511,12301,5
3162,69501,12434,5
3163,65641,23568,4
3165,66620,19457,5
3166,61686,16725,4
3167,61068,6473,4
3168,41300,15553,1
3169,52632,13480,2
3170,57931,12791,3
3171,44228,13924,1
3172,52024,14275,2
3173,54085,19317,2
3174,48527,24082,1
3175,48235,29856,1
3177,47303,6689,1
3178,61280,22300,4
3179,57296,3954,3
3180,57029,5071,3
3181,73915,15394,5
3182,63512,18350,4
3183,65938,13114,5
3184,74342,11148,5
3185,70869,9604,5
3186,75556,17354,5
3187,68180,11240,5
3188,72486,12447,5
3189,66567,4442,5
3190,71334,7999,5
3191,72180,7355,5
3192,66552,15675,5
3193,67738,14031,5
3194,66321,9020,5
3195,66895,24353,5
3196,68514,16723,5
3197,64620,7782,4
3198,61757,10455,4
3199,59408,33526,3
3200,52450,2751,2
3201,61232,13849,4
3202,64410,1796,4
3204,66845,22274,5
3205,69273,9671,5
3206,82515,7149,5
3207,79599,12160,5
3211,55000,797,2
3212,61235,12799,4
3213,59021,2988,3
3214,49501,12184,1
3215,57726,13167,3
3216,57369,38026,3
3217,63311,19534,4
3218,65260,9962,4
3219,54495,11579,2
3220,62091,11843,4
3221,58927,1291,3
3222,55600,11083,2
3223,47119,5932,1
3224,54920,9267,2
3225,48921,3698,1
3226,58314,11353,3
3227,61481,3567,4
3228,62922,15852,4
3230,52775,1976,2
3231,49261,1079,1
3232,49328,982,1
3233,45019,1528,1
3235,44135,292,1
3239,48306,286,1
3240,58962,1538,3
3241,53733,2084,2
3242,51664,671,1
3243,51845,269,1
3249,49010,2230,1
3250,53256,7879,2
3251,49701,355,1
3260,52189,2819,2
3264,51619,1419,1
3265,55855,1716,2
3266,53142,1868,2
3268,51720,1814,1
3269,46795,471,1
3272,47826,915,1
3275,53836,338,2
3276,52756,311,2
3277,56681,1203,2
3278,53028,211,2
3279,50623,244,1
3280,54484,21671,2
3281,58484,1266,3
3282,53233,1854,2
3283,51892,912,1
3284,50160,2309,1
3285,48199,781,1
3286,50136,365,1
3287,48040,302,1
3289,46617,473,1
3294,44837,653,1
3300,51352,6206,1
3301,47152,838,1
3302,49086,259,1
3304,46717,1572,1
3305,52479,7643,2
3311,43424,925,1
3312,40096,594,1
3314,45713,362,1
3315,44784,989,1
3318,46125,719,1
3319,43441,233,1
3321,59235,1212,3
3324,49762,325,1
3325,35132,283,1
3328,63977,1506,4
3331,60334,4512,3
3332,56546,837,2
3333,52177,577,2
3334,58999,363,3
3335,55973,10528,2
3336,60927,18477,4
3337,54611,22798,2
3338,53895,25931,2
3340,61422,16029,4
3341,58715,1005,3
3342,60435,2367,4
3345,67560,884,5
3350,57488,41156,3
3351,53972,5896,2
3352,57054,12063,3
3355,50505,6605,1
3356,51267,8247,1
3357,62367,2376,4
3358,57917,3910,3
3360,52531,464,2
3361,45624,347,1
3363,51122,1987,1
