state,lga_code,month,solar_n,solar_kw,battery_n,battery_kwh
ACT,89399,2023-01,584.59,5367.01,0,0
ACT,89399,2023-02,836.29,7630.6,0,0
ACT,89399,2023-03,806.8,8113.17,0,0
ACT,89399,2023-04,648.34,6079.32,0,0
ACT,89399,2023-05,786.43,8539.18,0,0
ACT,89399,2023-06,691.98,6724.36,0,0
ACT,89399,2023-07,809.37,8469.97,0,0
ACT,89399,2023-08,788.92,7772.36,0,0
ACT,89399,2023-09,694.08,7283.27,0,0
ACT,89399,2023-10,645.77,6573.14,0,0
ACT,89399,2023-11,573.99,6047.94,0,0
ACT,89399,2023-12,548.65,6699.05,0,0
ACT,89399,2024-01,314.8,2935.94,0,0
ACT,89399,2024-02,456.96,4451.63,0,0
ACT,89399,2024-03,372.95,3713.43,0,0
ACT,89399,2024-04,357.67,3865.06,0,0
ACT,89399,2024-05,393.46,4450.3,0,0
ACT,89399,2024-06,349.96,3304.04,0,0
ACT,89399,2024-07,443.02,4837.08,0,0
ACT,89399,2024-08,390.48,4268.76,0,0
ACT,89399,2024-09,360.21,4117.06,0,0
ACT,89399,2024-10,424.2,4822.53,0,0
ACT,89399,2024-11,393.5,4531.7,0,0
ACT,89399,2024-12,515.75,6189.17,0,0
ACT,89399,2025-01,230.68,2425.95,0,0
ACT,89399,2025-02,330.74,3572.45,0,0
ACT,89399,2025-03,369.24,4259.29,0,0
ACT,89399,2025-04,311.38,3319.44,0,0
ACT,89399,2025-05,341.01,3435.98,0,0
ACT,89399,2025-06,233.44,2648.79,0,0
ACT,89399,2025-07,378.01,4532.75,596.26,9864.45
ACT,89399,2025-08,385.09,4251.43,491.5,9952.86
ACT,89399,2025-09,402.35,4842.91,578.74,13290.81
ACT,89399,2025-10,425.06,5480.03,664.92,16346.81
ACT,89399,2025-11,417.63,5272.23,666.56,17994.66
ACT,89399,2025-12,594.88,7542.07,865.47,27143.92
ACT,89399,2026-01,292.59,3311.48,477.18,13720.21
ACT,89399,2026-02,420.82,4850.62,714.58,21585.03
ACT,89399,2026-03,496.08,5984.24,962.76,33323.43
ACT,89399,2026-04,762.18,9989.13,1573.48,58253.31
ACT,89399,2026-05,376.89,3978.87,432.17,9566.83
ACT,89399,2026-06,389.27,4507.68,597.96,14897.48
ACT,89399,2026-07,451.61,5359.45,624.06,16083.66
ACT,89399,2026-08,238.1,2769.14,284.88,7227.26
NSW,10050,2023-01,60.77,533.4,0,0
NSW,10050,2023-02,81.59,774.64,0,0
NSW,10050,2023-03,88.56,958,0,0
NSW,10050,2023-04,63.62,568.48,0,0
NSW,10050,2023-05,109.51,915.43,0,0
NSW,10050,2023-06,67.64,583.14,0,0
NSW,10050,2023-07,71.59,680.56,0,0
NSW,10050,2023-08,94.57,914.55,0,0
NSW,10050,2023-09,86.49,820.78,0,0
NSW,10050,2023-10,89.57,732.7,0,0
NSW,10050,2023-11,129.2,1246.13,0,0
NSW,10050,2023-12,95.5,1188.16,0,0
NSW,10050,2024-01,55.8,486.48,0,0
NSW,10050,2024-02,89.53,853.22,0,0
NSW,10050,2024-03,94.57,843.23,0,0
NSW,10050,2024-04,74.62,628.72,0,0
NSW,10050,2024-05,92.67,794.53,0,0
NSW,10050,2024-06,81.59,836.69,0,0
NSW,10050,2024-07,92.47,921.8,0,0
NSW,10050,2024-08,108.51,1096.04,0,0
NSW,10050,2024-09,66.67,810.39,0,0
NSW,10050,2024-10,64.73,652.08,0,0
NSW,10050,2024-11,71.6,806.21,0,0
NSW,10050,2024-12,98.51,1032.76,0,0
NSW,10050,2025-01,50.67,514.46,0,0
NSW,10050,2025-02,69.67,655.77,0,0
NSW,10050,2025-03,67.82,743.09,0,0
NSW,10050,2025-04,83.53,709.74,0,0
NSW,10050,2025-05,109.26,762.88,0,0
NSW,10050,2025-06,61.82,441.34,0,0
NSW,10050,2025-07,63.99,495.71,110.44,1962.12
NSW,10050,2025-08,51.83,521.55,72.49,1450.76
NSW,10050,2025-09,68.97,691.28,88.62,2074.97
NSW,10050,2025-10,78.79,727.92,102.51,2338.56
NSW,10050,2025-11,83.63,857.9,98.48,2499.92
NSW,10050,2025-12,108.71,1246.6,152.28,4690.86
NSW,10050,2026-01,43.84,437.05,49.78,1135.09
NSW,10050,2026-02,60.8,586.05,98.48,2966.46
NSW,10050,2026-03,93.74,1038.38,164.13,4935.87
NSW,10050,2026-04,137.47,1580.42,255.77,8354.61
NSW,10050,2026-05,73.79,667.07,49.85,953.86
NSW,10050,2026-06,71.69,707.01,72.66,1534.91
NSW,10050,2026-07,79.84,877.44,77.63,1651.87
NSW,10050,2026-08,56.8,526.04,37.7,957.92
NSW,10180,2023-01,22.02,178.76,0,0
NSW,10180,2023-02,38.97,304.06,0,0
NSW,10180,2023-03,36.57,287.21,0,0
NSW,10180,2023-04,34.27,307.66,0,0
NSW,10180,2023-05,25.08,188.23,0,0
NSW,10180,2023-06,40.04,396.18,0,0
NSW,10180,2023-07,35.59,312.56,0,0
NSW,10180,2023-08,47.91,390.69,0,0
NSW,10180,2023-09,36.93,382.74,0,0
NSW,10180,2023-10,57.99,434.4,0,0
NSW,10180,2023-11,26.62,232.71,0,0
NSW,10180,2023-12,26.55,239.85,0,0
NSW,10180,2024-01,22.97,174.98,0,0
NSW,10180,2024-02,27.93,260.89,0,0
NSW,10180,2024-03,36.34,387.14,0,0
NSW,10180,2024-04,23.94,184.7,0,0
NSW,10180,2024-05,51.84,391.16,0,0
NSW,10180,2024-06,29.91,287.25,0,0
NSW,10180,2024-07,43.23,360.42,0,0
NSW,10180,2024-08,29.54,273.02,0,0
NSW,10180,2024-09,24.9,250.05,0,0
NSW,10180,2024-10,20.9,186.07,0,0
NSW,10180,2024-11,27.73,315.67,0,0
NSW,10180,2024-12,26.89,399.85,0,0
NSW,10180,2025-01,24.76,194.27,0,0
NSW,10180,2025-02,22.84,237.61,0,0
NSW,10180,2025-03,25.22,240.67,0,0
NSW,10180,2025-04,17.26,129.86,0,0
NSW,10180,2025-05,27.74,242.23,0,0
NSW,10180,2025-06,22.98,172.94,0,0
NSW,10180,2025-07,38.13,383.26,33.73,506.94
NSW,10180,2025-08,31.61,230.42,19.3,315.51
NSW,10180,2025-09,32.6,250.7,31.62,617.55
NSW,10180,2025-10,40.89,434.5,47.3,1018.71
NSW,10180,2025-11,51.35,566.75,52.31,1264.71
NSW,10180,2025-12,44.03,398.52,44.2,1054.14
NSW,10180,2026-01,14.47,170.65,23.13,659.35
NSW,10180,2026-02,41.87,379.93,37.13,863.79
NSW,10180,2026-03,39.06,367.58,50.35,1566.5
NSW,10180,2026-04,59.9,631.27,85.71,2713.96
NSW,10180,2026-05,27.82,251.17,25.78,476.2
NSW,10180,2026-06,41.24,360.77,36.33,816.45
NSW,10180,2026-07,40.56,334.34,38.25,851.16
NSW,10180,2026-08,20.96,163.25,18.29,445.55
NSW,10250,2023-01,43.91,357.31,0,0
NSW,10250,2023-02,80.58,734.7,0,0
NSW,10250,2023-03,76.72,617.69,0,0
NSW,10250,2023-04,60.44,478.68,0,0
NSW,10250,2023-05,71.65,600.52,0,0
NSW,10250,2023-06,82.65,697.09,0,0
NSW,10250,2023-07,66.61,578.66,0,0
NSW,10250,2023-08,80.51,740.02,0,0
NSW,10250,2023-09,66.67,613.47,0,0
NSW,10250,2023-10,84.64,810.08,0,0
NSW,10250,2023-11,85.43,774.1,0,0
NSW,10250,2023-12,84.46,925.57,0,0
NSW,10250,2024-01,55,546.58,0,0
NSW,10250,2024-02,86.63,740.96,0,0
NSW,10250,2024-03,77.54,665.5,0,0
NSW,10250,2024-04,97.09,818.66,0,0
NSW,10250,2024-05,92.43,991.85,0,0
NSW,10250,2024-06,69.43,691.63,0,0
NSW,10250,2024-07,61.06,590.51,0,0
NSW,10250,2024-08,54.3,461.92,0,0
NSW,10250,2024-09,60.17,656.7,0,0
NSW,10250,2024-10,59.33,609.34,0,0
NSW,10250,2024-11,70.89,890.71,0,0
NSW,10250,2024-12,50.41,533.66,0,0
NSW,10250,2025-01,37.13,357.24,0,0
NSW,10250,2025-02,46.14,468.81,0,0
NSW,10250,2025-03,48.62,399.01,0,0
NSW,10250,2025-04,44.25,375.6,0,0
NSW,10250,2025-05,44.99,396.74,0,0
NSW,10250,2025-06,23.95,329.46,0,0
NSW,10250,2025-07,45.68,419.17,90.33,1318.2
NSW,10250,2025-08,56.81,527.75,96.95,1747.22
NSW,10250,2025-09,69.28,701.81,119.37,2391.79
NSW,10250,2025-10,63.56,687.21,108.43,2595.37
NSW,10250,2025-11,57.08,565.46,126.26,3090.83
NSW,10250,2025-12,79.12,925.86,123.75,3375.03
NSW,10250,2026-01,56.43,479.31,95.13,2257.25
NSW,10250,2026-02,77.36,644.11,134.21,3238.29
NSW,10250,2026-03,70.3,757.38,131.13,3723.25
NSW,10250,2026-04,86.8,1055.93,195.63,6239
