lga_name,month,bev_exact,bev_supp,phev_exact,phev_supp,other_exact,other_supp
Albury,2022-09,0.0,40,0.0,0,12076.0,16178
Albury,2022-12,7.0,45,0.0,1,12439.0,16159
Albury,2023-03,22.0,53,0.0,1,12403.0,16227
Albury,2023-06,27.0,57,0.0,2,12607.0,16315
Albury,2023-09,35.0,61,0.0,6,12850.0,16294
Albury,2023-12,36.0,67,0.0,10,13216.0,16301
Albury,2024-03,38.0,78,0.0,16,13200.0,16426
Albury,2024-06,46.0,89,0.0,17,13183.0,16439
Albury,2024-09,46.0,98,0.0,22,13449.0,16388
Albury,2024-12,49.0,102,7.0,26,13752.0,16422
Albury,2025-03,53.0,114,8.0,42,13849.0,16459
Albury,2025-06,57.0,118,8.0,51,13884.0,16459
Albury,2025-09,55.0,126,7.0,64,13925.0,16489
Albury,2025-12,54.0,135,7.0,75,14281.0,16346
Albury,2026-03,69.0,153,15.0,75,14279.0,16308
Albury,2026-06,116.0,177,22.0,105,14221.0,16240
Albury,2026-08,147.0,190,37.0,114,14282.0,16224
Armidale Regional,2022-09,0.0,13,0.0,0,4272.0,11567
Armidale Regional,2022-12,0.0,16,0.0,0,4260.0,11579
Armidale Regional,2023-03,0.0,18,0.0,2,4233.0,11629
Armidale Regional,2023-06,0.0,21,0.0,5,4001.0,11565
Armidale Regional,2023-09,0.0,23,0.0,5,4076.0,11570
Armidale Regional,2023-12,6.0,26,0.0,6,4171.0,11576
Armidale Regional,2024-03,6.0,33,0.0,11,4131.0,11577
Armidale Regional,2024-06,6.0,38,0.0,15,4136.0,11598
Armidale Regional,2024-09,12.0,41,0.0,17,4154.0,11630
Armidale Regional,2024-12,0.0,50,0.0,18,4215.0,11684
Armidale Regional,2025-03,0.0,55,0.0,21,4289.0,11667
Armidale Regional,2025-06,0.0,55,0.0,22,4249.0,11582
Armidale Regional,2025-09,0.0,59,0.0,23,4277.0,11623
Armidale Regional,2025-12,0.0,66,0.0,26,4454.0,11593
Armidale Regional,2026-03,0.0,78,7.0,28,4439.0,11599
Armidale Regional,2026-06,7.0,98,8.0,38,4412.0,11514
Armidale Regional,2026-08,8.0,108,8.0,46,4429.0,11545
Ballina,2022-09,26.0,54,0.0,0,10061.0,15717
Ballina,2022-12,28.0,59,0.0,2,10295.0,15732
Ballina,2023-03,43.0,72,0.0,6,10114.0,15769
Ballina,2023-06,66.0,80,0.0,9,10221.0,15858
Ballina,2023-09,82.0,85,0.0,10,10276.0,15821
Ballina,2023-12,90.0,98,0.0,10,10401.0,15869
Ballina,2024-03,101.0,112,0.0,12,10432.0,15965
Ballina,2024-06,110.0,121,0.0,18,10384.0,15966
Ballina,2024-09,116.0,130,0.0,19,10526.0,15995
Ballina,2024-12,126.0,145,0.0,21,10774.0,15888
Ballina,2025-03,121.0,164,0.0,28,10707.0,15805
Ballina,2025-06,119.0,184,7.0,34,10669.0,15869
Ballina,2025-09,129.0,193,8.0,39,10783.0,15850
Ballina,2025-12,146.0,206,15.0,43,10855.0,15869
Ballina,2026-03,165.0,240,26.0,47,10878.0,15933
Ballina,2026-06,215.0,267,31.0,70,10788.0,15860
Ballina,2026-08,272.0,281,38.0,82,10819.0,15813
Balranald,2022-09,0.0,0,0.0,0,6.0,1577
Balranald,2022-12,0.0,0,0.0,0,0.0,1557
Balranald,2023-03,0.0,0,0.0,0,0.0,1557
Balranald,2023-06,0.0,0,0.0,0,0.0,1509
Balranald,2023-09,0.0,0,0.0,0,0.0,1485
