lga_name,month,bev_seen
Brisbane,2022-01,66
Cairns,2022-01,2
Fraser Coast,2022-01,1
Gladstone,2022-01,1
Gold Coast,2022-01,39
Ipswich,2022-01,13
Livingstone,2022-01,1
Logan,2022-01,9
Mareeba,2022-01,1
Moreton Bay,2022-01,9
Noosa,2022-01,4
Redland,2022-01,2
Rockhampton,2022-01,1
Sunshine Coast,2022-01,23
Townsville,2022-01,9
Whitsunday,2022-01,1
Brisbane,2022-02,293
Bundaberg,2022-02,2
Cairns,2022-02,7
Central Highlands,2022-02,2
Douglas,2022-02,1
Fraser Coast,2022-02,1
Gladstone,2022-02,1
Gold Coast,2022-02,161
Gympie,2022-02,1
Ipswich,2022-02,19
Livingstone,2022-02,2
Logan,2022-02,27
Mackay,2022-02,2
Mareeba,2022-02,3
Moreton Bay,2022-02,26
Noosa,2022-02,11
Redland,2022-02,19
Rockhampton,2022-02,4
Scenic Rim,2022-02,3
Somerset,2022-02,1
Sunshine Coast,2022-02,49
Toowoomba,2022-02,6
Townsville,2022-02,23
Western Downs,2022-02,1
Whitsunday,2022-02,2
Brisbane,2022-03,725
Bundaberg,2022-03,6
Cairns,2022-03,21
Central Highlands,2022-03,2
Douglas,2022-03,2
Fraser Coast,2022-03,8
Gladstone,2022-03,4
Gold Coast,2022-03,327
Gympie,2022-03,3
Ipswich,2022-03,47
Isaac,2022-03,1
Livingstone,2022-03,4
Lockyer Valley,2022-03,2
Logan,2022-03,58
Mackay,2022-03,5
Maranoa,2022-03,1
Mareeba,2022-03,4
Moreton Bay,2022-03,101
Noosa,2022-03,23
Redland,2022-03,44
Rockhampton,2022-03,7
Scenic Rim,2022-03,9
Somerset,2022-03,3
South Burnett,2022-03,3
Southern Downs,2022-03,1
Sunshine Coast,2022-03,126
Toowoomba,2022-03,15
Townsville,2022-03,39
Western Downs,2022-03,1
Whitsunday,2022-03,2
Brisbane,2022-04,829
Bundaberg,2022-04,6
Cairns,2022-04,28
Cassowary Coast,2022-04,1
Central Highlands,2022-04,3
Douglas,2022-04,2
Fraser Coast,2022-04,10
Gladstone,2022-04,4
Gold Coast,2022-04,363
Gympie,2022-04,4
Ipswich,2022-04,55
Isaac,2022-04,1
Livingstone,2022-04,4
Lockyer Valley,2022-04,2
Logan,2022-04,69
Mackay,2022-04,6
Maranoa,2022-04,1
Mareeba,2022-04,4
Moreton Bay,2022-04,114
Noosa,2022-04,27
Redland,2022-04,50
Rockhampton,2022-04,9
Scenic Rim,2022-04,12
Somerset,2022-04,4
South Burnett,2022-04,3
Southern Downs,2022-04,1
Sunshine Coast,2022-04,143
Toowoomba,2022-04,20
Townsville,2022-04,43
Western Downs,2022-04,1
Whitsunday,2022-04,2
Brisbane,2022-05,978
Bundaberg,2022-05,7
Cairns,2022-05,34
Cassowary Coast,2022-05,1
Central Highlands,2022-05,3
Douglas,2022-05,3
Fraser Coast,2022-05,9
Gladstone,2022-05,4
Gold Coast,2022-05,400
Gympie,2022-05,4
Ipswich,2022-05,62
Isaac,2022-05,1
Livingstone,2022-05,4
Lockyer Valley,2022-05,3
Logan,2022-05,82
Mackay,2022-05,13
Maranoa,2022-05,1
Mareeba,2022-05,4
Moreton Bay,2022-05,129
Noosa,2022-05,33
Redland,2022-05,55
Rockhampton,2022-05,9
Scenic Rim,2022-05,16
Somerset,2022-05,4
South Burnett,2022-05,3
Southern Downs,2022-05,2
Sunshine Coast,2022-05,174
Tablelands,2022-05,2
Toowoomba,2022-05,25
Townsville,2022-05,45
Western Downs,2022-05,2
Whitsunday,2022-05,2
Brisbane,2022-06,1112
Bundaberg,2022-06,9
Cairns,2022-06,40
Cassowary Coast,2022-06,1
Central Highlands,2022-06,3
Cook,2022-06,1
Douglas,2022-06,3
Fraser Coast,2022-06,11
Gladstone,2022-06,4
Gold Coast,2022-06,442
Gympie,2022-06,4
Ipswich,2022-06,68
Isaac,2022-06,2
Livingstone,2022-06,5
Lockyer Valley,2022-06,4
Logan,2022-06,91
Mackay,2022-06,15
Maranoa,2022-06,1
Mareeba,2022-06,4
Moreton Bay,2022-06,144
Noosa,2022-06,42
Redland,2022-06,64
Rockhampton,2022-06,10
Scenic Rim,2022-06,19
Somerset,2022-06,5
South Burnett,2022-06,3
Southern Downs,2022-06,2
Sunshine Coast,2022-06,193
Tablelands,2022-06,2
Toowoomba,2022-06,36
Townsville,2022-06,49
Western Downs,2022-06,2
Whitsunday,2022-06,2
Brisbane,2022-07,1217
Bundaberg,2022-07,9
Cairns,2022-07,42
Cassowary Coast,2022-07,1
Central Highlands,2022-07,3
Cook,2022-07,1
Douglas,2022-07,3
Fraser Coast,2022-07,11
Gladstone,2022-07,4
Gold Coast,2022-07,460
Gympie,2022-07,4
Ipswich,2022-07,75
Isaac,2022-07,2
Livingstone,2022-07,5
Lockyer Valley,2022-07,5
Logan,2022-07,102
Mackay,2022-07,15
Maranoa,2022-07,1
Mareeba,2022-07,7
Moreton Bay,2022-07,165
Noosa,2022-07,47
Redland,2022-07,70
Rockhampton,2022-07,14
Scenic Rim,2022-07,23
Somerset,2022-07,5
South Burnett,2022-07,3
Southern Downs,2022-07,2
Sunshine Coast,2022-07,202
Tablelands,2022-07,2
Toowoomba,2022-07,37
Townsville,2022-07,55
