postcode,persons,dwellings,lv_2021,lv_2022,lv_2023,lv_2024,lv_2025,bev_2021,bev_2022,bev_2023,bev_2024,bev_2025,battery_kwh,battery_n,solar_kw,solar_n,chg_sites,chg_fast,chg_points
3000,43081,34399,21103,22285,21823,21897,22383,79,136,251,775,1182,0,0,3723.021,114,12,0,18
3002,4898,3472,4561,4741,4533,4696,4458,26,33,58,107,155,198.576,9,1155.614,111,0,0,0
3003,8004,5189,3530,3947,3997,4064,4209,7,18,36,77,104,275.016,15,2252.935,152,2,0,3
3004,11475,8157,11046,12161,13119,10851,8354,57,58,115,246,170,0,0,670.09,27,0,0,0
3006,22716,17531,11332,12219,12711,12499,11736,30,67,87,168,249,41.93,1,1450.395,47,2,1,2
3008,15514,10810,7212,8091,8543,8708,8971,27,57,115,173,283,166.734,6,2130.125,121,3,0,3
3011,22227,12315,13139,13568,14067,14448,14551,13,30,66,145,240,3936.576,135,9768.409,1338,2,2,2
3012,27071,12306,19301,18817,19540,19932,20294,14,26,78,175,311,6441.703,239,16069.177,2153,0,0,0
3013,15711,6847,9424,9394,9405,9664,9839,12,29,52,143,205,4737.385,179,8545.597,1467,0,0,0
3015,18638,7798,11724,11713,11792,12064,12592,9,15,54,147,220,5060.614,188,10339.531,1751,0,0,0
3016,15946,7172,11674,11629,11899,12037,12458,19,42,88,167,238,4334.646,172,10406.798,1754,1,0,2
3018,13585,6335,9950,9899,9992,10125,10299,22,31,56,118,186,4487.129,172,13423.794,1823,2,2,5
3019,9685,3965,6171,6217,6249,6614,6812,3,4,16,40,76,2937.584,93,5754.42,864,1,1,4
3020,44319,17625,31689,31445,31765,33133,33629,9,28,61,175,300,13092.304,456,32437.007,4700,1,1,1
3021,55139,20486,34808,34338,34032,34572,35672,6,11,41,90,161,13247.675,443,28657.568,5315,1,0,1
3022,3177,1346,2845,2688,2585,2627,2599,3,3,3,6,12,299.508,13,1717.584,296,0,0,0
3023,67081,21637,43964,44306,44972,45988,46929,23,54,151,302,472,30163.707,914,54125.548,8895,2,2,10
3024,33933,11592,18247,19446,21360,22957,25224,7,24,77,189,331,36950.106,1089,48607.816,7754,1,1,6
3025,12950,5322,9175,9279,11258,12070,12474,5,9,57,142,304,3409.323,122,11973.32,1600,1,1,1
3026,8788,2550,6467,7187,8020,8753,9470,6,9,25,66,114,5391.716,158,19054.065,981,3,3,7
3027,9453,3194,5383,5391,5679,6064,6287,8,22,69,150,211,9919.174,281,8676.565,1427,0,0,0
3028,28173,11687,19453,19004,19239,20072,20475,0,9,34,85,145,9761.806,347,18150.368,3361,2,1,7
3029,129883,41999,78177,82830,89351,96298,102928,37,124,344,851,1401,133816.255,3852,192304.219,28132,4,3,8
3030,119173,43637,78403,79070,80880,82570,85650,65,163,427,933,1583,99056.377,2967,122387.344,18992,5,4,17
3031,17737,9443,9924,9778,9805,9994,10276,4,23,51,112,173,2323.872,96,6500.613,1037,2,2,10
3032,29877,14439,17716,17803,18152,18436,18849,29,49,121,242,371,7144.287,255,12298.331,2080,1,1,50
3033,15076,5998,11204,11350,11568,11833,12157,7,19,40,86,123,4625.724,149,8713.662,1378,0,0,0
3034,12401,4902,8094,8114,8153,8287,8404,0,7,16,55,96,3918.144,124,6038.157,1021,0,0,0
3036,5961,2354,4810,4742,4756,4807,4893,0,4,11,25,47,2189.312,70,4647.72,697,0,0,0
3037,51397,16885,35041,34859,35116,35365,36158,11,31,82,168,286,22308.175,688,36821.547,6385,2,1,5
3038,26718,9578,20501,20280,20135,20257,20525,17,24,40,94,163,12183.425,388,20101.753,3322,3,3,10
3039,16154,8120,9751,9794,10032,10794,11216,14,32,64,129,211,3071.188,118,6441.243,1020,2,2,7
3040,26748,12208,17717,17641,17989,18305,18537,30,50,104,204,309,6454.41,233,12979.905,1928,0,0,0
3041,13099,5435,10914,11141,11558,12234,12671,15,44,80,223,373,4099.078,141,7819.317,1101,1,1,1
3042,16748,7440,13708,14619,14917,14965,15558,6,18,31,86,146,3892.074,128,10866.387,1507,1,1,1
3043,17848,7532,26270,27659,28893,27711,27493,14,80,141,258,351,4419.15,150,15870.255,1972,0,0,0
3044,28668,12323,17887,17735,17924,18339,18988,8,20,39,117,221,6658.205,252,12630.206,2219,0,0,0
3046,36763,15596,22677,22417,22802,23668,24381,10,26,62,134,193,6346.562,222,14681.697,2664,3,2,6
3047,21487,7818,13126,13182,13304,13923,14339,0,3,11,33,46,3553.296,115,13942.71,1886,3,3,11
3048,18079,5983,11836,11609,11829,12124,12556,0,5,9,20,38,5333.688,169,12907.174,2032,0,0,0
3049,9811,3867,7227,7175,7364,7488,7689,0,6,17,29,51,3158.15,108,6657.709,1073,1,1,4
3051,14951,8842,8497,7881,7858,7798,7883,13,27,56,98,135,869.561,36,2719.717,350,2,0,2
3052,7292,2854,2752,2824,2955,2880,2813,3,4,16,52,85,660.47,25,2102.999,177,0,0,0
3053,16001,10363,5469,5730,5646,5656,5687,6,11,22,62,88,506.49,21,2261.353,209,5,1,7
3054,8219,4136,4123,4117,4143,4161,4271,14,19,35,59,93,1021.048,47,2571.569,494,0,0,0
3055,14733,7893,7841,7907,7996,8150,8214,6,14,34,64,117,3037.066,123,5426.265,1013,0,0,0
3056,24934,13042,16776,17069,16965,17027,17486,23,44,104,176,295,4080.281,170,11899.612,1829,3,2,10
3057,13224,7531,6696,6847,6947,7147,7311,16,23,37,72,127,1710.992,77,4671.946,795,3,0,4
3058,34840,14963,22655,22677,23188,23765,24299,40,71,117,220,359,8829.739,364,23745.254,3767,4,2,7
3059,21280,6761,14401,15275,15988,16916,17919,7,18,51,120,195,16301.022,473,26395.425,3425,0,0,0
3060,14238,5407,9116,9177,9366,9676,10257,3,8,20,43,72,3276.42,108,7049.295,1147,1,0,1
3061,4984,1810,10527,9793,10319,10802,10971,7,11,15,28,41,2325.47,57,21546.245,1081,0,0,0
3063,564,204,597,592,598,608,604,0,0,0,0,3,422.26,12,814.85,91,0,0,0
3064,114355,35857,64668,69750,75548,81439,87576,25,61,178,401,736,81512.488,2398,144971.241,20755,6,3,9
3065,10430,6034,5315,5334,5312,5417,5432,19,37,52,86,133,527.604,26,2834.47,409,0,0,0
3066,9165,5674,5456,5426,5427,5526,5615,14,25,35,76,116,338.49,13,2807.427,283,0,0,0
3067,9122,5686,4920,5056,5127,5203,5246,10,21,36,71,111,872.195,33,2768.083,333,4,1,12
3068,19399,9492,10059,9929,10144,10339,10409,19,35,89,164,264,3815.68,179,7896.14,1442,3,2,4
3070,25259,11610,13924,14082,14158,14456,14775,26,50,97,230,363,6372.529,261,14748.108,2784,0,0,0
3071,18994,9150,11078,11042,11250,11441,11802,10,21,44,111,186,3706.114,150,10169.767,1688,3,0,6
3072,33703,15580,24186,24299,24568,24866,26133,13,26,75,169,309,7362.588,291,20475.208,3205,2,1,3
3073,51157,23192,31929,31419,31853,32601,33407,11,32,59,173,303,10568.45,386,24884.844,4458,2,2,2
