postcode,vehicles,bev,hybrid,recent_vehicles,recent_bev,quarter
3000,23011,601,701,4438,380,2023Q2
3000,23397,750,716,5345,553,2023Q3
3000,23590,836,780,6099,656,2023Q4
3000,24337,971,884,4209,698,2024Q1
3000,25190,1107,1067,5304,834,2024Q2
3000,24612,1186,1161,6275,935,2024Q3
3000,24418,1246,1185,7033,1010,2024Q4
3000,23428,1321,1302,3876,460,2025Q1
3000,23264,1462,1399,4706,632,2025Q2
3000,22765,1559,1556,5478,806,2025Q3
3000,23586,1713,1746,6871,1029,2025Q4
3000,22913,1847,1857,3644,791,2026Q1
3000,23381,2217,1892,4685,1201,2026Q2
3002,4807,89,111,552,48,2023Q2
3002,4704,92,114,647,54,2023Q3
3002,5015,110,132,936,73,2023Q4
3002,5015,131,135,605,68,2024Q1
3002,4950,149,130,727,85,2024Q2
3002,4905,156,146,845,95,2024Q3
3002,4748,157,158,924,104,2024Q4
3002,4693,168,181,529,61,2025Q1
3002,4602,186,190,637,81,2025Q2
3002,4665,204,214,754,103,2025Q3
3002,4611,227,229,839,122,2025Q4
3002,4597,241,248,474,82,2026Q1
3002,4586,261,269,587,102,2026Q2
3003,4679,93,185,475,41,2023Q2
3003,4701,99,183,600,49,2023Q3
3003,4775,109,192,718,58,2023Q4
3003,4852,118,189,448,44,2024Q1
3003,4886,127,194,554,50,2024Q2
3003,4882,130,209,638,57,2024Q3
3003,4939,136,220,728,64,2024Q4
3003,4978,142,226,382,26,2025Q1
3003,5087,157,250,504,39,2025Q2
3003,5025,174,235,592,57,2025Q3
3003,5090,197,245,701,71,2025Q4
3003,5073,200,272,374,46,2026Q1
3003,5112,221,294,479,68,2026Q2
3004,7704,88,90,851,50,2023Q2
3004,7770,99,100,1056,63,2023Q3
3004,7822,113,107,1201,77,2023Q4
3004,7893,128,121,859,59,2024Q1
3004,8059,138,136,1153,72,2024Q2
3004,8186,151,153,1420,86,2024Q3
3004,8299,164,178,1681,103,2024Q4
3004,8515,183,196,1262,66,2025Q1
3004,8657,205,212,1547,87,2025Q2
3004,8755,227,234,1739,98,2025Q3
3004,8777,238,264,1845,116,2025Q4
3004,8942,258,287,1244,79,2026Q1
3004,9037,356,308,1465,169,2026Q2
3006,13253,134,253,2050,77,2023Q2
3006,13245,159,275,2442,98,2023Q3
3006,13283,170,292,2767,112,2023Q4
3006,13180,205,314,1864,120,2024Q1
3006,12559,218,344,1798,132,2024Q2
3006,12590,243,403,2151,156,2024Q3
3006,12457,242,455,2446,160,2024Q4
3006,12412,261,509,1403,79,2025Q1
3006,12418,286,535,1654,107,2025Q2
3006,12399,312,551,1904,132,2025Q3
3006,12567,340,587,2257,156,2025Q4
3006,12287,357,616,1236,101,2026Q1
3006,12269,420,625,1403,141,2026Q2
