postcode,suburbs
3002,"East Melbourne"
3003,"West Melbourne"
3004,"Melbourne"
3006,"South Wharf, Southbank"
3008,"Docklands"
3011,"Seddon, Footscray"
3012,"Kingsville, Tottenham, Maidstone +2"
3013,"Yarraville"
3015,"South Kingsville, Spotswood, Newport"
3016,"Williamstown North, Williamstown"
3018,"Seaholme, Altona"
3019,"Braybrook"
3020,"Albion, Sunshine, Sunshine North +1"
3021,"Albanvale, Kealba, Kings Park +1"
3022,"Ardeer"
3023,"Burnside Heights, Burnside, Cairnlea +3"
3024,"Manor Lakes, Wyndham Vale, Mambourin +1"
3025,"Altona North"
3026,"Derrimut, Laverton North"
3027,"Williams Landing"
3028,"Seabrook, Laverton, Altona Meadows"
3029,"Hoppers Crossing, Tarneit, Truganina"
3030,"Werribee South, Point Cook, Werribee +2"
3031,"Kensington, Flemington"
3032,"Travancore, Ascot Vale, Maribyrnong"
3033,"Keilor East"
3034,"Avondale Heights"
3036,"Keilor North, Keilor"
3037,"Calder Park, Delahey, Sydenham +2"
3038,"Keilor Lodge, Keilor Downs, Taylors Lakes"
3039,"Moonee Ponds"
3040,"Essendon West, Aberfeldie, Essendon"
3041,"Strathmore Heights, Essendon North, Essendon Fields +1"
3042,"Niddrie, Keilor Park, Airport West"
3043,"Gowanbrae, Gladstone Park, Tullamarine"
3044,"Pascoe Vale South, Pascoe Vale"
3045,"Melbourne Airport"
3046,"Oak Park, Hadfield, Glenroy"
3047,"Jacana, Dallas, Broadmeadows"
3048,"Coolaroo, Meadow Heights"
3049,"Westmeadows, Attwood"
3051,"North Melbourne"
3052,"Parkville"
3053,"Carlton"
3054,"Princes Hill, Carlton North"
3055,"Brunswick West"
3056,"Brunswick"
3057,"Brunswick East"
3058,"Coburg North, Coburg"
3059,"Greenvale"
3060,"Fawkner"
3061,"Campbellfield"
3062,"Somerton"
3063,"Yuroke, Oaklands Junction"
3064,"Roxburgh Park, Kalkallo, Donnybrook +2"
3065,"Fitzroy"
3066,"Collingwood"
3067,"Abbotsford"
3068,"Clifton Hill, Fitzroy North"
3070,"Northcote"
3071,"Thornbury"
3072,"Preston"
3073,"Reservoir"
3074,"Thomastown"
3075,"Lalor"
3076,"Epping"
3078,"Alphington, Fairfield"
3079,"Ivanhoe East, Ivanhoe"
3081,"Bellfield (Banyule - Vic.), Heidelberg Heights, Heidelberg West"
3082,"Mill Park"
3083,"Kingsbury, Bundoora"
3084,"Eaglemont, Heidelberg, Rosanna +1"
3085,"Yallambie, Macleod"
3087,"Watsonia North, Watsonia"
3088,"Briar Hill, St Helena, Greensborough"
3089,"Diamond Creek"
3090,"Plenty"
3091,"Yarrambat"
3093,"Lower Plenty"
3094,"Montmorency"
3095,"Eltham North, Research, Eltham"
3096,"Wattle Glen"
3097,"Watsons Creek, Bend Of Islands, Kangaroo Ground"
3099,"Nutfield, Hurstbridge, Cottles Bridge +2"
3101,"Kew"
3102,"Kew East"
3103,"Deepdene, Balwyn"
3104,"Balwyn North"
3105,"Bulleen"
3106,"Templestowe"
3107,"Templestowe Lower"
3108,"Doncaster"
3109,"Doncaster East"
3111,"Donvale"
3113,"North Warrandyte, Warrandyte"
3114,"Park Orchards"
3115,"Wonga Park"
3116,"Chirnside Park"
3121,"Cremorne, Burnley, Richmond"
3122,"Hawthorn"
