month,NSW_ULP,NSW_E10,NSW_PULP95,NSW_PULP98,NSW_Diesel,NSW_LPG,QLD_ULP,QLD_E10,QLD_PULP95,QLD_PULP98,QLD_Diesel,QLD_LPG,WA_ULP,WA_E10,WA_PULP95,WA_PULP98,WA_Diesel,WA_LPG,Perth_ULP,Perth_E10,Perth_PULP95,Perth_PULP98,Perth_Diesel,Perth_LPG,NT_ULP,NT_E10,NT_PULP95,NT_PULP98,NT_Diesel,NT_LPG,Darwin_ULP,Darwin_E10,Darwin_PULP95,Darwin_PULP98,Darwin_Diesel,Darwin_LPG,NSW_ULP_sites,NSW_E10_sites,NSW_PULP95_sites,NSW_PULP98_sites,NSW_Diesel_sites,NSW_LPG_sites,QLD_ULP_sites,QLD_E10_sites,QLD_PULP95_sites,QLD_PULP98_sites,QLD_Diesel_sites,QLD_LPG_sites,WA_ULP_sites,WA_E10_sites,WA_PULP95_sites,WA_PULP98_sites,WA_Diesel_sites,WA_LPG_sites,Perth_ULP_sites,Perth_E10_sites,Perth_PULP95_sites,Perth_PULP98_sites,Perth_Diesel_sites,Perth_LPG_sites,NT_ULP_sites,NT_E10_sites,NT_PULP95_sites,NT_PULP98_sites,NT_Diesel_sites,NT_LPG_sites,Darwin_ULP_sites,Darwin_E10_sites,Darwin_PULP95_sites,Darwin_PULP98_sites,Darwin_Diesel_sites,Darwin_LPG_sites,n_days
2015-01,,,,,,,,,,,,,122.9991,112.9994,132.1106,136.1444,137.3125,86.3924,115.2698,110.4938,125.7665,131.3036,135.5769,77.7974,,,,,,,,,,,,,,,,,,,,,,,,,545,22,363,396,567,311,307,19,239,268,314,212,,,,,,,,,,,,,31
2015-02,,,,,,,,,,,,,123.7884,114.3216,133.8171,138.1899,131.6653,83.3063,119.1238,113.1108,129.7936,135.5014,129.6214,74.1228,,,,,,,,,,,,,,,,,,,,,,,,,546,22,364,397,569,307,307,19,239,268,314,209,,,,,,,,,,,,,28
2015-03,,,,,,,,,,,,,132.2036,124.8622,142.5399,147.4045,134.1473,84.5219,129.3978,124.8412,140.2612,145.9766,131.6232,75.6803,,,,,,,,,,,,,,,,,,,,,,,,,546,22,363,399,570,305,306,19,238,268,313,208,,,,,,,,,,,,,31
2015-04,,,,,,,,,,,,,132.8585,125.2057,143.173,148.0892,135.2713,85.2731,129.5842,125.0144,140.5718,146.4236,133.2875,76.7993,,,,,,,,,,,,,,,,,,,,,,,,,544,22,361,402,569,305,305,19,238,269,313,209,,,,,,,,,,,,,30
2015-05,,,,,,,,,,,,,137.8002,131.2402,148.0357,153.3587,137.4333,84.5477,135.428,131.2588,146.2459,152.2682,135.489,75.8833,,,,,,,,,,,,,,,,,,,,,,,,,543,22,360,402,567,304,305,19,238,269,312,208,,,,,,,,,,,,,31
2015-06,,,,,,,,,,,,,140.6327,132.5052,150.79,156.4296,138.8291,84.187,138.0415,132.1312,149.0029,155.201,136.4558,75.3736,,,,,,,,,,,,,,,,,,,,,,,,,543,22,360,403,569,303,304,19,237,269,312,207,,,,,,,,,,,,,30
2015-07,,,,,,,,,,,,,140.3381,133.518,150.4644,156.3981,139.1319,83.4189,137.5881,133.2906,148.4893,155.0291,137.1747,74.7115,,,,,,,,,,,,,,,,,,,,,,,,,546,22,362,407,574,302,306,19,240,272,315,208,,,,,,,,,,,,,31
2015-08,,,,,,,,,,,,,137.4568,129.6912,147.5476,153.3191,137.4527,82.7745,133.7085,128.9343,144.6821,151.2233,135.7232,74.1721,,,,,,,,,,,,,,,,,,,,,,,,,547,22,361,408,576,300,307,19,240,273,317,207,,,,,,,,,,,,,31
2015-09,,,,,,,,,,,,,133.6813,122.7,143.8625,149.3039,135.5638,81.2208,129.0858,121.0828,140.2427,146.6263,133.6808,72.2422,,,,,,,,,,,,,,,,,,,,,,,,,546,22,357,410,577,299,307,19,239,275,317,208,,,,,,,,,,,,,30
2015-10,,,,,,,,,,,,,132.421,122.7422,142.3223,147.8038,134.9045,80.3261,127.3153,121.2188,138.2144,144.7937,132.8951,71.7137,,,,,,,,,,,,,,,,,,,,,,,,,546,22,356,411,579,296,307,19,238,275,317,207,,,,,,,,,,,,,31
2015-11,,,,,,,,,,,,,128.8597,117.9234,138.6049,144.0816,133.1503,78.8171,122.6581,115.8923,133.6461,140.3176,130.74,71.0409,,,,,,,,,,,,,,,,,,,,,,,,,547,22,354,413,581,283,307,19,238,275,317,203,,,,,,,,,,,,,30
2015-12,,,,,,,,,,,,,127.9985,118.5487,138.4591,143.6622,129.7342,80.4866,123.3727,117.1205,134.5596,141.1112,127.1389,73.2695,,,,,,,,,,,,,,,,,,,,,,,,,552,22,358,417,588,284,310,19,241,278,323,203,,,,,,,,,,,,,31
2016-01,,,,,,,,,,,,,123.5582,114.8674,133.8569,139.0491,124.3344,79.8199,118.4657,113.3696,129.5268,136.0981,122.084,72.472,,,,,,,,,,,,,,,,,,,,,,,,,553,22,358,419,591,284,311,19,241,280,324,204,,,,,,,,,,,,,31
2016-02,,,,,,,,,,,,,116.649,107.536,126.4968,131.6878,118.1049,77.7495,110.2223,105.6216,121.0979,127.7406,115.8014,69.9987,,,,,,,,,,,,,,,,,,,,,,,,,552,22,357,418,590,281,310,19,241,279,323,202,,,,,,,,,,,,,29
2016-03,,,,,,,,,,,,,115.8873,108.7969,126.1752,131.388,115.0665,76.508,111.0595,107.6233,121.9964,128.7044,112.4894,68.6796,,,,,,,,,,,,,,,,,,,,,,,,,550,22,355,418,588,279,310,19,239,279,323,202,,,,,,,,,,,,,31
2016-04,,,,,,,,,,,,,115.9426,108.6486,126.3599,131.6644,114.8532,75.839,111.1166,107.7613,122.3177,129.0923,112.1331,67.8826,,,,,,,,,,,,,,,,,,,,,,,,,551,21,355,418,589,278,309,18,239,278,323,201,,,,,,,,,,,,,30
2016-05,,,,,,,,,,,,,118.1938,111.2269,128.7366,134.2208,117.3081,75.3425,113.6348,110.5573,125.0253,131.8474,114.4154,67.1677,,,,,,,,,,,,,,,,,,,,,,,,,554,21,359,422,592,276,310,18,241,279,324,200,,,,,,,,,,,,,31
2016-06,,,,,,,,,,,,,125.4397,118.1361,137.0353,142.1878,124.8336,76.895,123.1991,117.7657,135.0361,141.6162,123.8747,69.2848,,,,,,,,,,,,,,,,,,,,,,,,,553,20,358,423,591,271,310,17,242,281,324,196,,,,,,,,,,,,,30
2016-07,,,,,,,,,,,,,123.0816,115.3404,134.6175,139.5809,125.6378,76.79,120.0602,114.6558,131.8478,138.5078,125.3711,69.2207,,,,,,,,,,,,,,,,,,,,,,,,,556,20,357,430,593,271,312,16,243,284,326,196,,,,,,,,,,,,,31
2016-08,112.037,108.5235,123.9826,129.7973,116.2304,64.9322,,,,,,,117.7091,111.3352,128.7373,133.7018,122.3188,74.8453,113.017,110.4809,124.6177,131.4412,121.2143,66.7637,,,,,,,,,,,,,1189,1011,1007,1163,709,254,,,,,,,560,20,359,434,597,269,315,16,245,288,329,195,,,,,,,,,,,,,31
2016-09,116.787,113.8885,128.778,134.8667,116.4811,64.5365,,,,,,,116.6875,108.6012,127.1382,132.3401,122.0569,74.2535,111.2783,106.9408,122.6443,129.5308,120.9601,65.9991,,,,,,,,,,,,,1326,1107,1063,1265,771,305,,,,,,,562,20,360,437,600,270,318,16,247,291,332,196,,,,,,,,,,,,,30
2016-10,121.7828,119.5697,134.599,140.6755,119.5958,64.4926,,,,,,,119.4516,112.7453,130.3062,135.6305,123.5695,75.3,114.515,111.4178,126.1669,133.0969,122.4404,66.9615,,,,,,,,,,,,,1345,1145,1095,1308,852,250,,,,,,,564,20,361,439,602,264,320,16,248,294,333,191,,,,,,,,,,,,,31
2016-11,123.4562,120.9217,136.422,142.3034,122.1291,67.9663,,,,,,,126.1743,121.361,138.3785,143.4227,126.9319,84.6856,123.5807,120.4704,136.0126,142.4898,126.4831,78.2208,,,,,,,,,,,,,1525,1312,1276,1489,970,551,,,,,,,567,20,362,442,605,249,323,16,249,298,336,176,,,,,,,,,,,,,30
2016-12,126.1577,124.0633,139.2077,145.2626,124.3287,68.1471,,,,,,,128.7675,124.9019,141.1236,146.3405,129.9793,85.5296,127.0334,124.5897,139.4967,146.0313,130.5727,79.1425,,,,,,,,,,,,,1304,1099,1057,1252,772,240,,,,,,,570,20,364,447,609,244,326,16,252,301,340,171,,,,,,,,,,,,,31
2017-01,133.6603,131.5096,146.7165,152.8739,129.3285,74.2687,,,,,,,134.568,129.4556,147.2829,152.4888,134.3793,87.3836,133.6179,129.1478,146.385,152.7932,134.3877,81.4753,,,,,,,,,,,,,1521,1211,1203,1426,1029,447,,,,,,,571,20,365,449,610,241,327,16,253,303,341,169,,,,,,,,,,,,,31
2017-02,131.8895,128.8692,145.0893,150.9988,129.2041,75.7264,,,,,,,134.0721,130.1009,146.74,151.9619,134.1539,88.1783,132.4877,129.693,145.4244,151.8016,133.3316,82.2618,,,,,,,,,,,,,1376,1172,1110,1338,647,470,,,,,,,572,20,364,451,610,240,329,16,253,305,343,169,,,,,,,,,,,,,28
2017-03,126.0543,122.4106,138.5807,144.4238,128.5159,75.5956,,,,,,,131.601,126.4635,144.1805,149.314,133.066,88.1545,129.3024,125.5131,142.2825,148.6249,132.3043,82.3145,,,,,,,,,,,,,1286,1163,1044,1277,534,388,,,,,,,577,20,366,456,616,240,332,16,254,308,346,170,,,,,,,,,,,,,31
2017-04,126.9119,124.0351,139.8277,145.9752,127.3884,72.6212,,,,,,,129.1103,123.5972,141.2752,146.4911,131.7977,88.0026,126.0914,122.7009,138.8071,145.3297,131.0914,82.1252,,,,,,,,,,,,,1372,1200,1107,1328,721,280,,,,,,,577,20,363,455,616,239,333,16,253,308,347,170,,,,,,,,,,,,,30
2017-05,126.1016,123.2717,139.4674,145.2835,126.9591,70.9466,,,,,,,128.9694,122.7084,141.3376,146.3851,131.6187,87.6695,125.9414,121.7244,138.785,145.2224,130.8258,81.8188,,,,,,,,,,,,,1212,1114,970,1213,582,260,,,,,,,579,20,365,460,619,237,335,16,255,312,350,170,,,,,,,,,,,,,31
2017-06,125.0971,122.1434,138.295,144.1716,125.0369,69.5614,,,,,,,127.6342,123.3788,139.6634,145.0394,130.9903,87.54,124.1519,121.7688,136.8187,143.5659,130.0942,81.5976,,,,,,,,,,,,,1246,1133,983,1220,592,235,,,,,,,584,15,381,466,625,235,338,15,269,317,354,169,,,,,,,,,,,,,30
2017-07,120.2443,116.4623,133.0658,138.8613,123.7844,69.746,,,,,,,123.5022,,134.8109,140.4883,129.443,87.4279,118.5306,,130.9889,137.8593,128.3001,81.3032,,,,,,,,,,,,,1422,1199,1114,1341,771,368,,,,,,,585,,389,468,629,235,340,,275,319,359,169,,,,,,,,,,,,,31
2017-08,122.5119,119.3705,135.5845,141.5372,125.1164,72.0807,,,,,,,126.5124,,138.6279,144.054,128.7529,87.1536,123.2591,,136.0178,142.6704,127.1203,80.8839,,,,,,,,,,,,,1352,1196,1070,1309,765,556,,,,,,,586,,389,468,630,234,340,,275,319,359,168,,,,,,,,,,,,,31
2017-09,125.4581,122.7157,138.6929,144.9981,125.6532,73.1937,,,,,,,129.2446,,141.7882,147.2203,129.0121,87.057,127.1059,,139.9715,146.6817,127.191,80.5782,,,,,,,,,,,,,1387,1220,1085,1349,767,554,,,,,,,588,,392,470,635,234,341,,276,320,361,167,,,,,,,,,,,,,30
2017-10,130.367,128.7208,144.0685,150.5849,127.6088,77.2741,,,,,,,130.9851,,143.7769,149.2365,130.9406,92.5466,129.2572,,142.2856,149.0292,129.0107,87.1228,,,,,,,,,,,,,1391,1200,1087,1336,827,568,,,,,,,593,,395,476,647,235,344,,278,323,365,167,,,,,,,,,,,,,31
2017-11,136.3039,134.7686,149.8131,156.484,132.4924,80.3317,,,,,,,136.6909,,149.9344,155.3299,135.7914,95.2075,135.6019,,148.8598,155.5656,134.0861,89.7805,152.7633,140.0805,160.4816,173.0349,165.4556,123.4472,140.7702,140.3332,153.3908,168.5231,136.3785,116.567,1614,1285,1197,1495,1088,371,,,,,,,598,,396,479,655,232,345,,279,325,366,165,86,10,103,32,180,23,28,5,25,13,25,6,30
2017-12,137.9435,136.0154,151.7354,158.2558,135.3904,84.9833,,,,,,,138.8179,,151.6682,157.2449,140.1627,98.7617,137.334,,150.4041,157.2039,139.3708,93.6052,156.6605,144.9622,164.6913,177.3863,168.3641,124.5486,146.3484,145.5888,159.125,174.3517,142.3984,116.9774,1398,1129,1043,1310,989,466,,,,,,,603,,402,485,662,230,348,,282,328,369,164,86,10,105,32,184,24,28,5,25,13,25,6,31
2018-01,137.1947,134.9698,151.2805,157.4988,137.1246,85.3665,,,,,,,139.4678,,152.1927,157.7275,142.2948,100.1394,137.8524,,150.7749,157.5103,141.82,95.2644,157.4365,145.2936,165.4751,178.069,169.483,124.571,147.1664,146.1,159.9587,175.285,144.5952,117.067,1179,1064,902,1179,811,260,,,,,,,606,,405,487,666,229,350,,285,330,372,165,86,10,106,32,185,24,28,5,25,13,25,6,31
2018-02,135.2778,132.59,149.0289,155.2363,137.3905,83.8425,,,,,,,139.4615,,152.0574,157.5489,143.0703,100.0842,137.3615,,150.2191,157.0496,142.611,95.1596,157.4363,144.4999,165.7768,178.11,170.5414,124.5368,147.0611,145.5362,159.8234,175.1365,146.1726,116.722,1179,1098,904,1187,686,192,,,,,,,604,,403,486,525,228,349,,282,329,264,164,86,10,107,32,185,24,28,5,25,13,25,6,28
2018-03,133.7501,131.0774,147.6721,153.8496,136.4904,80.6915,,,,,,,138.2861,,150.8352,156.4691,142.4146,99.1114,135.7073,,148.8057,155.7032,141.6908,93.9521,156.9354,144.3796,165.4488,177.1325,170.7512,124.529,146.1148,145.3668,158.9443,173.438,146.8586,116.567,1232,1150,958,1252,545,342,,,,,,,605,,403,487,416,227,350,,283,330,188,163,86,10,107,32,185,24,28,5,25,13,25,6,31
