month,TGP_petrol_sydney,TGP_petrol_melbourne,TGP_petrol_brisbane,TGP_petrol_adelaide,TGP_petrol_perth,TGP_petrol_darwin,TGP_petrol_hobart,TGP_petrol_national,TGP_diesel_sydney,TGP_diesel_melbourne,TGP_diesel_brisbane,TGP_diesel_adelaide,TGP_diesel_perth,TGP_diesel_darwin,TGP_diesel_hobart,TGP_diesel_national,n_days
2004-01,88.1409,86.8091,88.5,89.0955,90.6727,91.8727,90.0,88.2818,88.2364,86.4955,88.3727,88.6182,89.9727,92.4636,92.8273,88.5727,22
2004-02,84.23,82.775,84.525,85.13,86.37,87.83,86.11,84.29,87.565,85.62,87.53,87.49,88.865,91.275,91.87,87.7,20
2004-03,89.1652,87.9261,89.5913,90.2174,91.7217,93.0174,91.1696,89.3739,88.0478,86.0435,88.0043,87.7,89.113,91.5217,92.1783,88.1043,23
2004-04,89.3955,88.2818,89.8091,90.3091,91.4273,93.55,91.0818,89.5636,90.5182,88.5545,90.4591,90.25,91.7727,94.2136,94.7273,90.6136,22
2004-05,95.5667,94.6571,96.2952,96.8,98.0286,100.2333,97.6857,95.9143,95.1429,93.3286,95.2429,95.1238,96.8429,99.3571,99.8714,95.4333,21
2004-06,95.9409,94.8182,96.3545,96.7227,97.7727,100.1773,97.8318,96.0773,94.7409,92.8864,94.8591,94.6864,96.3409,98.4182,99.6364,94.9955,22
2004-07,92.7864,91.5091,93.3545,93.8091,94.8045,97.2682,94.9182,92.9545,95.6227,93.0364,95.6409,95.6773,96.3318,99.6455,99.8818,95.5818,22
2004-08,98.2182,97.2727,98.7773,99.1773,100.4045,102.8727,100.3091,98.4727,101.5545,99.3273,101.5045,101.4818,102.3318,105.7045,105.7409,101.55,22
2004-09,97.2864,96.2636,97.6818,98.0455,99.3409,101.7864,99.1273,97.4409,104.3182,102.2091,104.3409,104.0909,105.3136,108.2364,108.2136,104.3636,22
2004-10,100.5238,99.4667,101.1095,101.4095,102.5905,105.1619,102.5667,100.719,107.4952,105.4238,107.5095,107.0905,108.2667,111.3238,111.3524,107.4905,21
2004-11,98.2318,97.0591,99.0591,98.9727,99.85,102.8045,100.4227,98.4045,105.8409,103.8773,105.7909,105.3545,106.1818,109.4182,109.5909,105.7318,22
2004-12,91.8652,91.087,92.4783,92.5087,93.7783,96.1609,93.9478,92.1174,100.5565,99.4304,100.5826,100.2261,101.2783,104.3087,104.5,100.6913,23
2005-01,92.181,90.9333,92.1905,92.6048,93.1762,95.7524,94.0143,92.0524,98.4905,97.5381,98.5381,98.3095,98.5714,102.0,102.6952,98.5667,21
2005-02,96.835,95.525,96.69,97.45,97.365,100.26,98.49,96.615,100.045,99.275,100.135,100.04,100.37,103.595,104.16,100.215,20
2005-03,102.3957,101.0217,102.2565,103.0,103.2435,105.8348,104.0478,102.2,109.9087,108.887,109.6957,109.987,109.8,113.3043,113.7522,109.8652,23
2005-04,105.8333,104.5571,106.019,106.6762,106.8952,109.5095,107.6571,105.7762,114.4429,113.0667,114.2571,114.5429,114.3,117.8333,118.2048,114.3524,21
2005-05,100.3455,98.9727,100.5182,101.1182,101.3727,104.0545,102.0955,100.2545,109.7727,108.3136,109.6318,109.8727,109.7818,113.2364,113.5227,109.7091,22
2005-06,101.9045,100.8955,102.0,102.6,103.1636,105.6045,103.5682,101.9091,114.1091,113.1318,114.1091,114.3591,114.6,117.9818,118.1636,114.2773,22
2005-07,108.5238,107.1762,108.6905,109.4381,109.8905,112.3048,110.1333,108.481,118.5381,117.4238,118.6,119.0381,119.0619,122.5524,122.8762,118.7381,21
2005-08,114.4087,112.9478,114.513,115.4391,115.5391,117.9652,116.1478,114.313,117.5739,115.9783,117.5261,118.1261,117.8435,121.2826,121.8609,117.5957,23
2005-09,124.8136,123.1955,124.95,125.8364,125.8773,128.2591,126.5636,124.6591,125.0227,123.1864,125.3227,125.75,125.3455,128.6727,129.4682,125.1273,22
2005-10,119.2762,117.7905,119.4524,120.381,119.7381,123.2286,121.3952,119.1286,127.4286,125.5429,127.5762,128.0905,127.1571,131.1952,131.8905,127.3476,21
2005-11,111.6364,110.3955,111.85,112.7909,112.5364,115.8136,113.4591,111.6136,117.8727,116.4636,118.2682,118.7,118.1955,122.0364,122.3727,118.1045,22
2005-12,108.4455,108.0727,108.9727,109.8273,109.8955,112.7136,110.0864,108.7818,115.05,114.1136,116.0136,116.3,116.0227,119.2182,119.1318,115.6591,22
2006-01,114.1091,113.7818,115.4045,116.05,115.1682,119.0455,116.2636,114.65,123.0636,121.4455,123.9818,124.1909,122.4773,126.4682,126.6182,123.1955,22
2006-02,113.595,113.37,115.415,115.675,114.99,119.14,116.3,114.335,126.54,125.185,127.58,127.75,126.25,130.445,130.565,126.83,20
2006-03,116.5304,116.2957,118.1957,118.2043,118.3087,121.8348,118.687,117.2217,128.2,127.0609,129.1783,129.2826,128.7826,132.4826,132.013,128.7,23
2006-04,125.52,124.865,126.975,126.875,126.98,130.805,127.195,125.995,133.31,131.755,134.11,134.14,133.51,137.475,136.335,133.57,20
2006-05,132.3304,131.0087,133.3304,133.3435,132.5,137.3478,134.087,132.3826,137.8348,135.7217,138.5826,138.7783,137.187,142.3826,141.5783,137.8565,23
